country_iso3	epidemic_period	lineage_group	feature	category	n_category	n_feature_annotated	n_feature_interpretable	n_feature_missing	n_lineage_tree_total	category_percent_of_annotated	category_percent_of_tree_total
CHN	pandemic	Other_model_lineages	frozen_PRN_outcome	non_interpretable	2	37	35	0	37	5.40540540540541	5.40540540540541
CHN	pandemic	Other_model_lineages	frozen_PRN_mechanism	intact	35	37	35	0	37	94.5945945945946	94.5945945945946
CHN	pandemic	Other_model_lineages	frozen_PRN_mechanism	insufficient_data	1	37	35	0	37	2.7027027027027	2.7027027027027
CHN	pandemic	Other_model_lineages	frozen_PRN_mechanism	uncertain_fragmented_assembly	1	37	35	0	37	2.7027027027027	2.7027027027027
CHN	pandemic	Other_model_lineages	published_MT_label	MISSING	37	0	0	37	37		100
CHN	resurgence	L1_02.07	source_ptxP	MISSING	103	45	45	103	148		69.5945945945946
CHN	resurgence	L1_02.07	source_ptxP	ptxP3	45	45	45	103	148	100	30.4054054054054
CHN	resurgence	L1_02.07	source_fim3	MISSING	103	45	45	103	148		69.5945945945946
CHN	resurgence	L1_02.07	source_fim3	fim3-1	45	45	45	103	148	100	30.4054054054054
CHN	resurgence	L1_02.07	source_antigen_profile	MISSING	103	45	45	103	148		69.5945945945946
CHN	resurgence	L1_02.07	source_antigen_profile	ptxP3/fim3-1	45	45	45	103	148	100	30.4054054054054
CHN	resurgence	L1_02.07	source_23S_raw	MISSING	103	45	45	103	148		69.5945945945946
CHN	resurgence	L1_02.07	source_23S_raw	MR_A2047G	27	45	45	103	148	60	18.2432432432432
CHN	resurgence	L1_02.07	source_23S_raw	MS	18	45	45	103	148	40	12.1621621621622
CHN	resurgence	L1_02.07	frozen_23S_status	MISSING	103	45	45	103	148		69.5945945945946
CHN	resurgence	L1_02.07	frozen_23S_status	MR_A2047G	27	45	45	103	148	60	18.2432432432432
CHN	resurgence	L1_02.07	frozen_23S_status	MS	18	45	45	103	148	40	12.1621621621622
CHN	resurgence	L1_02.07	frozen_PRN_outcome	non_interpretable	118	148	30	0	148	79.7297297297297	79.7297297297297
CHN	resurgence	L1_02.07	frozen_PRN_outcome	intact	27	148	30	0	148	18.2432432432432	18.2432432432432
CHN	resurgence	L1_02.07	frozen_PRN_outcome	disrupted	3	148	30	0	148	2.02702702702703	2.02702702702703
CHN	resurgence	L1_02.07	frozen_PRN_mechanism	insufficient_data	116	148	30	0	148	78.3783783783784	78.3783783783784
CHN	resurgence	L1_02.07	frozen_PRN_mechanism	intact	27	148	30	0	148	18.2432432432432	18.2432432432432
CHN	resurgence	L1_02.07	frozen_PRN_mechanism	coding_disrupted_is481	3	148	30	0	148	2.02702702702703	2.02702702702703
CHN	resurgence	L1_02.07	frozen_PRN_mechanism	uncertain_fragmented_assembly	2	148	30	0	148	1.35135135135135	1.35135135135135
