country_iso3	model_month	observed_cases	fitted_median	fitted_lower_95	fitted_upper_95	baseline_median	baseline_lower_95	baseline_upper_95	no_new_exposure_median	no_new_exposure_lower_95	no_new_exposure_upper_95	equal_lineage_median	equal_lineage_lower_95	equal_lineage_upper_95	l10207_reference_median	l10207_reference_lower_95	l10207_reference_upper_95
AUS	2023-11-01	633	519.052215036196	452.188812562752	597.400864920681	528.649043489633	158.924210237866	1620.25830152136	528.649043489633	158.924210237866	1620.25830152136	469.438949513327	123.835149240766	1604.54095259895	419.398230964036	113.333284896381	1420.45996733505
AUS	2023-12-01	585	883.618982060299	769.833641454054	1020.69830330701	748.017340398561	215.629494431149	2305.99565088102	748.017340398561	215.629494431149	2305.99565088102	654.036424020543	162.164017357431	2187.58459275478	578.814038062385	148.363249785803	1976.02732968219
AUS	2024-01-01	827	902.74506241361	764.780527993392	1108.31664183455	1124.1538310204	355.88249742313	3254.80398188006	1052.36091202858	294.698749162829	3159.12902431485	972.102543281583	274.833778007318	3099.15359445273	875.584446921282	251.812602099147	2739.75666709537
AUS	2024-02-01	846	1228.53479503139	1055.72904509714	1451.30514815622	1597.92963102044	531.454477207994	4515.12071190318	1453.6253892301	410.152916533463	4241.71362713558	1375.12527000658	398.880194219493	4250.13670573653	1238.86585100542	364.851759307935	3734.62318678611
AUS	2024-03-01	1375	1205.65043494578	1033.27519852326	1398.68535929152	2117.14403814511	704.677850397041	5924.93993273986	1957.48599457333	560.143005413475	5741.7550019567	1817.60372175864	500.816469284508	5491.01684993501	1636.32072479792	474.169128242291	4693.36298379482
AUS	2024-04-01	2038	1877.1809280712	1631.62039410176	2161.89145973197	2720.24017909946	938.334130248852	7398.34272893913	2563.2547408045	746.202492628678	7249.28368764805	2317.98229261319	649.267485550083	6907.20577937872	2090.6000251749	600.209215133122	6062.01280492615
AUS	2024-05-01	2578	2717.78518668201	2395.2965647459	3119.38458534225	3472.90744207502	1254.51568417343	9272.97285185714	3231.00502197133	979.945245286561	8916.24728616951	2941.2017042251	868.352112769701	8552.03096816602	2669.31965864677	784.346313113611	7537.27702681326
AUS	2024-06-01	4465	3238.27252923457	2832.52509926036	3702.34532691304	4127.68816880575	1550.06121457552	11162.7841109176	3922.37330944096	1231.43626510789	10844.6825381449	3498.57030826485	1064.62011855913	9973.47162955741	3182.6155752311	942.43937944283	8666.01486600472
AUS	2024-07-01	5233	5162.97746003377	4530.13599602171	5917.23326316794	4814.80115669878	1911.25415088074	12914.6527388646	4580.25913990526	1521.37677966382	12310.0945307851	4057.38691821351	1290.43382623207	11260.1710558812	3716.39004979927	1129.94726397363	9836.34344366222
AUS	2024-08-01	6661	5790.55536917866	5044.05386781013	6648.10132718246	5400.91363447095	2249.63437820951	14259.7331809059	5135.73672358598	1806.50856401691	13562.0878794092	4526.79437744319	1481.7451199408	12244.8581284964	4145.79436018747	1282.59909205908	10686.30510102
AUS	2024-09-01	8312	6918.97081442815	5985.16807154296	8030.8782166016	5809.16171497837	2512.28041149372	15105.7475302389	5523.86453765915	2049.97791422347	14393.4848030413	4813.1820016427	1637.63607533957	12762.795335587	4434.7228902004	1441.30273904461	10996.1005697844
AUS	2024-10-01	7940	7939.8657072306	6748.29169086759	9334.66154901565	5871.84089894988	2616.6363447224	15172.6903126447	5651.21249535401	2187.25307225211	14521.7948889444	4825.92160597665	1705.97057634142	12767.0171212048	4452.95612428171	1478.1944064273	10952.8194122743
AUS	2024-11-01	9308	7356.63203018733	6326.44698461086	8614.179607295	5734.33631477961	2636.96933052104	14642.5436910895	5578.93466262994	2240.35225235628	14299.3260585229	4635.96578625016	1646.37798680696	12156.396022646	4281.24498372936	1440.89354505338	10678.4881066106
AUS	2024-12-01	6843	8048.63498433312	6807.93646356461	9592.12099384765	5416.58263538514	2515.56315759816	13959.1962656457	5333.37808012785	2185.36399453063	13618.1144875072	4289.42434358182	1538.5029385333	11299.1253449889	3968.64897879078	1350.3077123545	9797.43969614498
AUS	2025-01-01	5010	5992.38011369587	5183.83795676062	7000.29417578217	4933.67962634522	2356.8385746854	12894.8916902976	4892.97528390132	2087.67241560272	12604.1113679961	3880.30775393049	1360.75428219812	9944.96225309755	3562.98832369337	1205.49041901743	8817.39855272237
AUS	2025-02-01	2881	4440.24268649827	3861.31930752683	5197.23039562525	4376.93292093279	2095.49400770117	11603.8211008011	4358.2863974627	1915.0324221629	11334.2444375777	3377.52931020521	1177.18855508203	8888.93059051777	3142.36157749261	1028.67737245028	7706.14662250794
AUS	2025-03-01	2362	2693.13046205943	2325.56388506708	3165.09649030556	3839.49158479695	1821.40590146629	10276.6665507939	3827.98510055103	1700.79410293283	10073.4619211335	2908.38440939532	989.798640571656	7673.76768373762	2700.68545337436	867.684895427006	6556.26304891746
AUS	2025-04-01	1929	2206.57588524847	1897.30222536513	2608.62130003081	3331.96192689293	1552.52190273819	9040.21788177139	3336.37253655357	1485.99041482509	8868.76098973922	2486.48748225467	810.772830455375	6584.41809237568	2308.04814649136	707.194644197126	5700.95505819734
AUS	2025-05-01	2008	1816.68249209374	1561.90801337681	2146.20216210883	2904.27592502209	1352.3813865957	8058.20574908209	2918.03800049376	1296.46309694876	7942.97600197796	2115.85048356958	678.613659350723	5718.55237133234	1976.19981146515	583.513645664509	5009.29575840838
AUS	2025-06-01	1756	1859.98282588442	1607.93908074702	2184.00357805734	2553.8440238205	1160.73367685722	7141.57122250283	2576.07918605178	1108.93190467524	7120.07420010241	1826.34260645685	571.553678846198	4925.3785154736	1700.52383624472	471.532244121677	4410.02232808277
