project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27796099	SAMN39683087	2022	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796099					paper_comparison
PRJNA1071282	SRR27796100	SAMN39683086	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796101	SAMN39683085	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796102	SAMN39683084	2022	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796103	SAMN39682986	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796104	SAMN39682985	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796105	SAMN39682984	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796105					paper_comparison
PRJNA1071282	SRR27796106	SAMN39682983	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796107	SAMN39682866	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796107					paper_comparison
PRJNA1071282	SRR27796108	SAMN39682982	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796109	SAMN39682981	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796110	SAMN39682980	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796111	SAMN39682979	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796112	SAMN39682978	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796112					paper_comparison
PRJNA1071282	SRR27796113	SAMN39682977	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796114	SAMN39682976	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796115	SAMN39682975	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796115					paper_comparison
PRJNA1071282	SRR27796116	SAMN39682974	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796117	SAMN39682973	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796118	SAMN39682865	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796119	SAMN39682972	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796120	SAMN39682971	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0		pass	checkm_thresholds_passed	100.00	0.00	paper_comparison;raw_read_qc
PRJNA1071282	SRR27796121	SAMN39682970	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796121					paper_comparison
PRJNA1071282	SRR27796122	SAMN39682969	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796123	SAMN39682968	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796124	SAMN39682967	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796124					paper_comparison
PRJNA1071282	SRR27796125	SAMN39682966	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796126	SAMN39682965	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796127	SAMN39682964	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796128	SAMN39682963	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796129	SAMN39682864	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796129					paper_comparison
PRJNA1071282	SRR27796130	SAMN39682962	2018	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796131	SAMN39682961	2018	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796131					paper_comparison
